Decil	Days	Shape	scale
1	10	12.62  0.47
2	10	11.91  0.49
3	11	11.47  0.48
4	10	11.83  0.47
5	10	15.97	 0.33
6	8	14.37  0.35
7	10	8.56  0.59
8	10	7.43  0.60
9	11	7.41  0.61
10	10	6.31  0.69
11	10	4.86	0.98
12	10	1.06	1.08
13	10	4.23	1.10
14	10	3.11	1.44
15	11	2.92	1.75
16	10	3.20	1.69
17	10	2.73	2.19
18	10	2.60	2.42
19	10	3.11	2.21
20	10	4.78	1.60
21	11	6.80	1.27
22	10	5.89	1.41
23	10	5.96	1.52
24	11	7.40	1.23
25	10	5.49	1.62
26	10	5.31	1.55
27	10	6.60	1.23
28	10	7.84	0.91
29	10	5.18	1.33
30	11	7.24	1.0
31	10	6.35	1.07
32	10	8.02	0.85
33	10	7.92	0.81
34	10	7.19	0.82
35	10	6.89	0.89
36	11	9.61	0.65
